machine_id,temperature,torque,tool_wear,vibration_index,anomaly_score
M_3,299.53,40.51,0.152,0.361,0.064
M_3,302.01,41.68,0.2394,0.438,0.151
M_1,306.68,38.65,0.5862,0.819,0.486
M_3,303.48,40.68,0.2529,0.6,0.221
M_1,302.93,38.88,0.1983,0.624,0.196
M_2,297.17,40.1,0.0902,0.568,0.096
M_2,300.32,37.95,0.2231,0.64,0.187
M_2,307.2,37.93,0.3357,0.559,0.288
M_3,303.43,40.1,0.27,0.495,0.198
M_3,302.02,41.43,0.314,0.731,0.277
M_1,299.65,41.16,0.0998,0.369,0.041
M_3,303.55,42.35,0.1204,0.679,0.179
M_1,305.5,41.58,0.1839,0.505,0.178
M_2,305.4,41.64,0.4318,0.782,0.385
M_3,299.39,43.14,0.4904,0.761,0.353
M_3,298.59,40.96,0.198,0.556,0.146
M_2,303.59,41.47,0.3274,0.761,0.308
M_2,301.05,42.64,0.0717,0.518,0.082
M_3,310.36,41.46,0.4472,0.722,0.424
M_3,303.15,41.57,0.3109,0.619,0.253
M_3,306.44,41.03,0.1796,0.637,0.225
M_2,308.24,42.64,0.4379,0.855,0.438
M_1,299.16,43.54,0.2323,0.69,0.203
M_3,300.83,42.21,0.1008,0.624,0.126
M_2,303.06,40.26,0.2049,0.527,0.171
M_3,295.79,37.85,0.0968,0.535,0.089
M_2,303.4,44.03,0.2238,0.558,0.193
M_1,305.55,38.31,0.3762,0.682,0.328
M_2,301.49,42.5,0.1897,0.635,0.18
M_3,302.76,39.06,0.1653,0.545,0.154
M_3,303.4,44.86,0.4185,0.807,0.365
M_3,304.12,38.81,0.2354,0.628,0.227
M_2,304.72,39.7,0.2818,0.622,0.255
M_3,303.06,36.9,0.176,0.575,0.171
M_1,304.67,43.17,0.4643,0.667,0.359
M_2,303.07,39.49,0.0317,0.4,0.047
M_2,304.31,45.65,0.233,0.523,0.197
M_1,305.63,44.05,0.6316,0.967,0.542
M_2,303.4,41.83,0.3106,0.649,0.264
